dataset,log_file,split,samples,benign,malignant,raw_label_counts
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f1.log,fold1_val,104,70,34,"{0: 70, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f1.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f2.log,fold2_train,414,276,138,"{0: 276, 1: 138}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f2.log,fold2_val,104,68,36,"{0: 68, 1: 36}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f2.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f3.log,fold3_train,415,273,142,"{0: 273, 1: 142}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f3.log,fold3_val,103,71,32,"{0: 71, 1: 32}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f3.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f4.log,fold4_train,415,275,140,"{0: 275, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f4.log,fold4_val,103,69,34,"{0: 69, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f4.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f0.log,fold0_train,414,278,136,"{0: 278, 1: 136}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f0.log,fold0_val,104,66,38,"{0: 66, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f0.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f1.log,fold1_train,414,274,140,"{0: 274, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f1.log,fold1_val,104,70,34,"{0: 70, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f1.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f2.log,fold2_train,414,276,138,"{0: 276, 1: 138}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f2.log,fold2_val,104,68,36,"{0: 68, 1: 36}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f2.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f3.log,fold3_train,415,273,142,"{0: 273, 1: 142}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f3.log,fold3_val,103,71,32,"{0: 71, 1: 32}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f3.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f4.log,fold4_train,415,275,140,"{0: 275, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f4.log,fold4_val,103,69,34,"{0: 69, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/SWINT_autoCW_exp030_f4.log,test,129,91,38,"{0: 91, 1: 38}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f0.log,fold0_train,406,117,289,"{0: 117, 1: 289}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f0.log,fold0_val,102,22,80,"{0: 22, 1: 80}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f0.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f1.log,fold1_train,406,106,300,"{0: 106, 1: 300}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f1.log,fold1_val,102,33,69,"{0: 33, 1: 69}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f1.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f2.log,fold2_train,406,114,292,"{0: 114, 1: 292}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f2.log,fold2_val,102,25,77,"{0: 25, 1: 77}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f2.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f3.log,fold3_train,407,112,295,"{0: 112, 1: 295}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f3.log,fold3_val,101,27,74,"{0: 27, 1: 74}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f3.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f4.log,fold4_train,407,107,300,"{0: 107, 1: 300}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f4.log,fold4_val,101,32,69,"{0: 32, 1: 69}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/CONVNEXTT_aul_bin_autoCW_exp030_f4.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f0.log,fold0_train,406,117,289,"{0: 117, 1: 289}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f0.log,fold0_val,102,22,80,"{0: 22, 1: 80}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f0.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f1.log,fold1_train,406,106,300,"{0: 106, 1: 300}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f1.log,fold1_val,102,33,69,"{0: 33, 1: 69}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f1.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f2.log,fold2_train,406,114,292,"{0: 114, 1: 292}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f2.log,fold2_val,102,25,77,"{0: 25, 1: 77}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f2.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f3.log,fold3_train,407,112,295,"{0: 112, 1: 295}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f3.log,fold3_val,101,27,74,"{0: 27, 1: 74}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f3.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f4.log,fold4_train,407,107,300,"{0: 107, 1: 300}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f4.log,fold4_val,101,32,69,"{0: 32, 1: 69}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/DENSENET121_aul_bin_autoCW_exp030_f4.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/EFFFORMERL1_aul_bin_autoCW_exp030_f0.log,fold0_train,406,117,289,"{0: 117, 1: 289}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/EFFFORMERL1_aul_bin_autoCW_exp030_f0.log,fold0_val,102,22,80,"{0: 22, 1: 80}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/EFFFORMERL1_aul_bin_autoCW_exp030_f0.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f0.log,fold0_train,406,117,289,"{0: 117, 1: 289}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f0.log,fold0_val,102,22,80,"{0: 22, 1: 80}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f0.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f1.log,fold1_train,406,106,300,"{0: 106, 1: 300}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f1.log,fold1_val,102,33,69,"{0: 33, 1: 69}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f1.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f2.log,fold2_train,406,114,292,"{0: 114, 1: 292}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f2.log,fold2_val,102,25,77,"{0: 25, 1: 77}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f2.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f3.log,fold3_train,407,112,295,"{0: 112, 1: 295}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f3.log,fold3_val,101,27,74,"{0: 27, 1: 74}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f3.log,test,127,44,83,"{0: 44, 1: 83}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f4.log,fold4_train,407,107,300,"{0: 107, 1: 300}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f4.log,fold4_val,101,32,69,"{0: 32, 1: 69}"
AUL,aul_compare_extra4models_5fold_logs/20260421_085028/REPVITM11_aul_bin_autoCW_exp030_f4.log,test,127,44,83,"{0: 44, 1: 83}"
